start_time;run_id;gpu;generation;network;n_conv;dim1;kernel_conv;stride_conv;kernel_pool;stride_pool;n_layers;dim2;train_time;end_time;accuracy;num_epochs;loss_log;test_imgs;errors
2019-06-19 15:26:34.189617;20190619150000;cuda:0;10;Net_2;6;[3, 52, 102, 151, 201, 250, 300];[5, 5, 5, 5, 5, 5];[1, 1, 1, 1, 1, 1];[2, 2, 2, 2, 2, 2];[2, 2, 2, 2, 2, 2];5;[2700, 3000, 2251, 1502, 753, 5];0;2019-06-19 15:26:58.857270;25.87165234967155;1;[];1979;no errors

2019-06-19 15:27:00.420163;20190619150000;cuda:0;10;Net_3;6;[3, 52, 102, 151, 201, 250, 300];[6, 6, 6, 6, 6, 6];[1, 1, 1, 1, 1, 1];[2, 2, 2, 2, 2, 2];[3, 3, 3, 3, 3, 3];5;[300, 3000, 2251, 1502, 753, 5];0;2019-06-19 15:27:19.965935;25.87165234967155;1;[];1979;no errors

2019-06-19 15:27:21.563787;20190619150000;cuda:0;10;Net_4;4;[3, 77, 151, 225, 300];[4, 4, 4, 4];[1, 1, 1, 1];[2, 2, 2, 2];[3, 3, 3, 3];4;[2700, 3000, 2001, 1003, 5];0;2019-06-19 15:27:37.479270;19.35320869125821;1;[];1979;no errors

2019-06-19 15:27:39.057977;20190619150000;cuda:0;10;Net_5;6;[3, 52, 102, 151, 201, 250, 300];[4, 4, 4, 4, 4, 4];[1, 1, 1, 1, 1, 1];[3, 3, 3, 3, 3, 3];[2, 2, 2, 2, 2, 2];4;[2700, 3000, 2001, 1003, 5];0;2019-06-19 15:27:56.531927;22.132390096008084;1;[];1979;no errors

2019-06-19 15:27:59.024369;20190619150000;cuda:0;11;Net_0;4;[3, 77, 151, 225, 300];[2, 2, 2, 2];[1, 1, 1, 1];[2, 2, 2, 2];[2, 2, 2, 2];3;[58800, 3000, 1502, 5];0;2019-06-19 15:28:25.060787;18.84790298130369;1;[];1979;no errors

2019-06-19 15:28:26.633377;20190619150000;cuda:0;11;Net_1;4;[3, 77, 151, 225, 300];[5, 5, 5, 5];[1, 1, 1, 1];[3, 3, 3, 3];[3, 3, 3, 3];5;[1200, 3000, 2251, 1502, 753, 5];0;2019-06-19 15:28:46.012882;22.132390096008084;1;[];1979;no errors

2019-06-19 15:28:47.724935;20190619150000;cuda:0;11;Net_2;4;[3, 77, 151, 225, 300];[5, 5, 5, 5];[1, 1, 1, 1];[2, 2, 2, 2];[2, 2, 2, 2];5;[58800, 3000, 2251, 1502, 753, 5];0;2019-06-19 15:29:31.215351;25.87165234967155;1;[];1979;no errors

2019-06-19 15:29:32.818699;20190619150000;cuda:0;11;Net_3;4;[3, 77, 151, 225, 300];[2, 2, 2, 2];[1, 1, 1, 1];[2, 2, 2, 2];[3, 3, 3, 3];5;[2700, 3000, 2251, 1502, 753, 5];0;2019-06-19 15:29:46.317318;13.794845881758464;1;[];1979;no errors

2019-06-19 15:29:47.906175;20190619150000;cuda:0;11;Net_4;4;[3, 77, 151, 225, 300];[4, 4, 4, 4];[1, 1, 1, 1];[3, 3, 3, 3];[3, 3, 3, 3];3;[2700, 3000, 1502, 5];0;2019-06-19 15:30:03.420605;13.794845881758464;1;[];1979;no errors

2019-06-19 15:30:04.984226;20190619150000;cuda:0;11;Net_5;4;[3, 77, 151, 225, 300];[6, 6, 6, 6];[1, 1, 1, 1];[3, 3, 3, 3];[3, 3, 3, 3];4;[2700, 3000, 2001, 1003, 5];0;2019-06-19 15:30:27.452358;18.84790298130369;1;[];1979;no errors

2019-06-19 15:30:29.121339;20190619150000;cuda:0;11;Net_6;4;[3, 77, 151, 225, 300];[4, 4, 4, 4];[1, 1, 1, 1];[3, 3, 3, 3];[3, 3, 3, 3];3;[2700, 3000, 1502, 5];0;2019-06-19 15:30:44.908410;18.84790298130369;1;[];1979;no errors

